top_1,top_5
0.65625,0.921875
-1,-1
0.125,0.171875
0.6875,0.953125
-1,-1
0.65625,0.921875
0.6875,0.953125
0.640625,0.90625
-1,-1
0.09375,0.109375
0.65625,0.921875
0.671875,0.9375
-1,-1
0.65625,0.921875
-1,-1
0.65625,0.9375
0.140625,0.171875
0.671875,0.9375
0.03125,0.0625
0.140625,0.1875
0.015625,0.046875
0.671875,0.9375
0.6875,0.953125
0.671875,0.9375
-1,-1
0.125,0.15625
0.65625,0.921875
-1,-1
0.640625,0.90625
0.203125,0.234375
0.078125,0.796875
0.6875,0.953125
0.671875,0.9375
0.6875,0.953125
-1,-1
0.640625,0.90625
-1,-1
0.671875,0.9375
-1,-1
-1,-1
-1,-1
0.65625,0.921875
0.65625,0.921875
0.6875,0.953125
-1,-1
0.6875,0.953125
0.015625,0.0625
0.6875,0.953125
0.125,0.140625
0.078125,0.09375
0.09375,0.109375
0.0,0.046875
0.59375,0.859375
0.671875,0.9375
0.65625,0.921875
-1,-1
0.65625,0.90625
0.671875,0.9375
-1,-1
0.65625,0.921875
0.671875,0.9375
0.671875,0.9375
-1,-1
-1,-1
0.671875,0.9375
0.671875,0.9375
0.671875,0.9375
0.015625,0.03125
0.671875,0.9375
0.640625,0.90625
-1,-1
0.125,0.171875
0.609375,0.875
0.109375,0.125
0.03125,0.046875
0.125,0.15625
-1,-1
0.6875,0.953125
0.609375,0.890625
0.671875,0.9375
0.046875,0.078125
0.09375,0.109375
0.6875,0.953125
0.640625,0.90625
0.65625,0.921875
0.65625,0.921875
0.03125,0.046875
0.6875,0.953125
0.09375,0.125
0.65625,0.921875
0.671875,0.9375
0.671875,0.9375
0.640625,0.90625
0.671875,0.9375
-1,-1
0.65625,0.921875
