top_1,top_5
-1,-1
-1,-1
0.017578125,0.021484375
0.498046875,0.646484375
-1,-1
0.708984375,0.896484375
0.138671875,0.3046875
-1,-1
0.708984375,0.896484375
0.7109375,0.896484375
-1,-1
0.708984375,0.896484375
-1,-1
0.708984375,0.896484375
0.01953125,0.025390625
0.015625,0.01953125
-1,-1
-1,-1
-1,-1
0.55859375,0.89453125
-1,-1
0.01953125,0.025390625
0.541015625,0.890625
-1,-1
0.017578125,0.01953125
0.296875,0.662109375
-1,-1
0.708984375,0.896484375
-1,-1
0.453125,0.7265625
-1,-1
0.708984375,0.896484375
0.251953125,0.7109375
0.51953125,0.67578125
-1,-1
0.453125,0.7265625
-1,-1
0.70703125,0.89453125
0.24609375,0.703125
-1,-1
0.509765625,0.83203125
-1,-1
0.708984375,0.896484375
0.509765625,0.830078125
-1,-1
0.708984375,0.896484375
0.708984375,0.896484375
0.029296875,0.173828125
0.640625,0.8359375
0.375,0.498046875
-1,-1
0.708984375,0.896484375
0.509765625,0.83203125
-1,-1
0.708984375,0.896484375
0.208984375,0.57421875
0.015625,0.01953125
0.708984375,0.896484375
-1,-1
0.708984375,0.896484375
-1,-1
0.708984375,0.896484375
0.708984375,0.896484375
0.708984375,0.896484375
0.708984375,0.896484375
0.646484375,0.8515625
-1,-1
0.01953125,0.025390625
-1,-1
0.015625,0.021484375
-1,-1
0.708984375,0.896484375
-1,-1
0.509765625,0.83203125
-1,-1
0.7109375,0.896484375
0.177734375,0.564453125
0.443359375,0.716796875
-1,-1
0.708984375,0.8984375
0.16796875,0.265625
0.70703125,0.8984375
-1,-1
0.708984375,0.896484375
0.015625,0.01953125
0.033203125,0.15234375
0.634765625,0.833984375
0.177734375,0.5625
-1,-1
0.634765625,0.833984375
-1,-1
0.708984375,0.896484375
-1,-1
0.708984375,0.896484375
0.45703125,0.7265625
0.177734375,0.564453125
0.51171875,0.83203125
-1,-1
0.01953125,0.0234375
0.6328125,0.82421875
-1,-1
0.708984375,0.89453125
0.708984375,0.89453125
-1,-1
0.708984375,0.896484375
-1,-1
0.55859375,0.89453125
-1,-1
0.708984375,0.896484375
-1,-1
-1,-1
0.01953125,0.025390625
-1,-1
0.015625,0.029296875
-1,-1
0.708984375,0.896484375
-1,-1
0.708984375,0.896484375
0.509765625,0.83203125
-1,-1
0.708984375,0.896484375
-1,-1
-1,-1
-1,-1
0.013671875,0.01953125
0.01953125,0.025390625
0.1484375,0.50390625
0.513671875,0.828125
-1,-1
0.708984375,0.896484375
0.708984375,0.89453125
-1,-1
0.01953125,0.0234375
0.125,0.34375
0.708984375,0.896484375
-1,-1
0.708984375,0.896484375
-1,-1
0.01953125,0.0234375
-1,-1
-1,-1
0.01953125,0.0234375
0.015625,0.021484375
-1,-1
0.708984375,0.896484375
-1,-1
0.513671875,0.83203125
-1,-1
0.708984375,0.896484375
-1,-1
0.708984375,0.896484375
0.505859375,0.83203125
0.017578125,0.02734375
-1,-1
0.513671875,0.830078125
0.078125,0.248046875
0.509765625,0.83203125
-1,-1
0.708984375,0.896484375
0.71484375,0.896484375
-1,-1
0.01953125,0.025390625
0.017578125,0.01953125
-1,-1
0.708984375,0.896484375
-1,-1
0.509765625,0.83203125
-1,-1
0.708984375,0.8984375
-1,-1
-1,-1
0.708984375,0.896484375
-1,-1
0.708984375,0.896484375
-1,-1
0.708984375,0.896484375
-1,-1
0.708984375,0.896484375
-1,-1
0.708984375,0.896484375
0.17578125,0.634765625
0.015625,0.0234375
0.708984375,0.896484375
-1,-1
0.7109375,0.896484375
0.5546875,0.728515625
-1,-1
0.69140625,0.88671875
-1,-1
0.708984375,0.896484375
0.708984375,0.896484375
-1,-1
0.708984375,0.896484375
0.248046875,0.689453125
-1,-1
0.509765625,0.83203125
-1,-1
0.708984375,0.896484375
-1,-1
0.708984375,0.896484375
0.708984375,0.89453125
0.02734375,0.17578125
0.708984375,0.89453125
0.4609375,0.724609375
-1,-1
-1,-1
0.01953125,0.025390625
-1,-1
0.015625,0.021484375
0.599609375,0.77734375
-1,-1
-1,-1
0.01953125,0.025390625
-1,-1
-1,-1
-1,-1
0.01953125,0.025390625
0.326171875,0.71875
-1,-1
0.015625,0.017578125
0.47265625,0.611328125
0.708984375,0.896484375
-1,-1
0.708984375,0.896484375
-1,-1
0.708984375,0.896484375
-1,-1
0.5,0.833984375
0.669921875,0.841796875
-1,-1
-1,-1
0.01953125,0.025390625
0.015625,0.01953125
0.03125,0.1796875
-1,-1
-1,-1
0.017578125,0.029296875
0.708984375,0.896484375
0.708984375,0.896484375
-1,-1
-1,-1
-1,-1
0.01953125,0.0234375
0.021484375,0.02734375
-1,-1
0.509765625,0.83203125
-1,-1
-1,-1
-1,-1
0.01953125,0.02734375
-1,-1
0.708984375,0.896484375
-1,-1
0.015625,0.017578125
-1,-1
-1,-1
