top_1,top_5
0.78125,0.935546875
0.04296875,0.732421875
0.02734375,0.03125
-1,-1
-1,-1
0.0234375,0.02734375
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.935546875
-1,-1
-1,-1
0.78125,0.935546875
0.78125,0.935546875
-1,-1
0.025390625,0.03125
-1,-1
-1,-1
0.0234375,0.029296875
-1,-1
-1,-1
0.025390625,0.033203125
0.77734375,0.93359375
0.78125,0.935546875
0.78125,0.935546875
0.779296875,0.93359375
0.78125,0.931640625
-1,-1
0.0234375,0.029296875
0.029296875,0.0390625
0.02734375,0.037109375
0.78125,0.935546875
0.78125,0.93359375
0.78125,0.935546875
0.78125,0.935546875
-1,-1
0.77734375,0.93359375
0.77734375,0.93359375
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.935546875
0.779296875,0.9296875
0.02734375,0.033203125
-1,-1
0.025390625,0.03125
0.78125,0.935546875
0.025390625,0.03515625
0.025390625,0.033203125
0.78125,0.935546875
0.78125,0.935546875
0.77734375,0.931640625
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.935546875
0.783203125,0.931640625
0.025390625,0.03125
0.025390625,0.037109375
-1,-1
0.025390625,0.03125
0.78125,0.935546875
0.025390625,0.033203125
-1,-1
0.779296875,0.93359375
0.78125,0.935546875
-1,-1
0.78125,0.935546875
0.025390625,0.03125
0.77734375,0.93359375
0.78125,0.935546875
0.77734375,0.93359375
0.78125,0.935546875
0.02734375,0.033203125
0.783203125,0.93359375
-1,-1
0.025390625,0.03515625
-1,-1
0.025390625,0.03125
0.78125,0.935546875
0.02734375,0.037109375
-1,-1
0.78125,0.93359375
0.78125,0.935546875
0.404296875,0.572265625
0.77734375,0.93359375
0.78125,0.935546875
-1,-1
0.78125,0.935546875
0.771484375,0.9296875
0.783203125,0.93359375
0.025390625,0.0390625
0.404296875,0.572265625
0.77734375,0.93359375
0.78125,0.93359375
0.029296875,0.04296875
0.025390625,0.04296875
0.779296875,0.93359375
0.78125,0.935546875
0.77734375,0.931640625
0.025390625,0.03515625
0.783203125,0.93359375
0.09375,0.1328125
-1,-1
0.025390625,0.03125
0.779296875,0.93359375
0.025390625,0.03515625
-1,-1
0.78125,0.935546875
0.02734375,0.033203125
0.77734375,0.93359375
0.78125,0.935546875
0.02734375,0.03515625
0.0234375,0.03125
0.02734375,0.037109375
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.935546875
-1,-1
0.029296875,0.041015625
0.77734375,0.93359375
0.779296875,0.93359375
-1,-1
0.78125,0.935546875
0.02734375,0.033203125
0.02734375,0.03125
-1,-1
-1,-1
0.025390625,0.03125
0.779296875,0.93359375
0.0234375,0.033203125
0.025390625,0.03125
0.02734375,0.03125
-1,-1
0.025390625,0.03125
0.78125,0.935546875
0.02734375,0.0390625
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.935546875
-1,-1
0.78125,0.935546875
0.78125,0.935546875
0.779296875,0.93359375
0.78125,0.935546875
0.78125,0.935546875
0.02734375,0.033203125
0.78125,0.935546875
0.025390625,0.03515625
0.732421875,0.89453125
-1,-1
0.025390625,0.03125
0.78125,0.935546875
-1,-1
0.025390625,0.033203125
-1,-1
-1,-1
0.025390625,0.03125
-1,-1
0.0234375,0.037109375
0.77734375,0.93359375
0.0234375,0.033203125
0.779296875,0.93359375
0.025390625,0.03515625
0.73046875,0.890625
0.77734375,0.93359375
0.78125,0.935546875
0.78125,0.935546875
0.041015625,0.072265625
0.779296875,0.935546875
0.30078125,0.44921875
0.025390625,0.033203125
0.78125,0.935546875
-1,-1
0.025390625,0.03125
0.029296875,0.046875
0.78125,0.935546875
-1,-1
0.78125,0.935546875
0.02734375,0.04296875
0.775390625,0.9296875
-1,-1
0.78125,0.935546875
0.02734375,0.033203125
0.78125,0.935546875
0.02734375,0.03515625
0.78125,0.935546875
0.779296875,0.93359375
0.78515625,0.93359375
0.783203125,0.935546875
0.025390625,0.03125
0.05078125,0.09765625
0.77734375,0.931640625
-1,-1
0.025390625,0.03125
0.76953125,0.931640625
-1,-1
-1,-1
-1,-1
0.021484375,0.025390625
0.78125,0.935546875
0.02734375,0.0390625
0.77734375,0.935546875
0.05859375,0.0859375
0.77734375,0.93359375
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.935546875
0.03125,0.04296875
-1,-1
0.779296875,0.93359375
-1,-1
0.78125,0.935546875
0.78125,0.935546875
0.78125,0.935546875
-1,-1
-1,-1
0.025390625,0.033203125
0.779296875,0.931640625
0.02734375,0.037109375
0.78125,0.935546875
0.78125,0.935546875
0.404296875,0.572265625
0.77734375,0.93359375
0.78125,0.935546875
0.77734375,0.93359375
0.78125,0.927734375
-1,-1
0.78125,0.935546875
0.02734375,0.033203125
-1,-1
0.025390625,0.03125
0.025390625,0.029296875
0.025390625,0.033203125
0.177734375,0.259765625
0.779296875,0.93359375
0.025390625,0.03515625
0.78125,0.935546875
0.78125,0.935546875
-1,-1
-1,-1
0.0234375,0.033203125
0.77734375,0.931640625
0.02734375,0.033203125
0.779296875,0.93359375
0.779296875,0.93359375
0.78125,0.931640625
0.02734375,0.033203125
0.025390625,0.03125
0.77734375,0.9296875
0.04296875,0.052734375
0.779296875,0.93359375
0.78125,0.935546875
0.025390625,0.03125
-1,-1
0.78125,0.935546875
0.02734375,0.033203125
