top_1,top_5
0.001953125,0.001953125
0.001953125,0.009765625
0.005859375,0.01171875
-1,-1
0.0,0.005859375
0.234375,0.359375
-1,-1
0.708984375,0.896484375
0.646484375,0.830078125
0.001953125,0.001953125
-1,-1
0.00390625,0.0078125
0.244140625,0.708984375
-1,-1
0.708984375,0.896484375
-1,-1
-1,-1
0.0,0.001953125
-1,-1
0.001953125,0.0078125
0.2578125,0.400390625
0.001953125,0.0078125
0.70703125,0.89453125
0.5546875,0.70703125
0.41796875,0.58203125
0.708984375,0.896484375
-1,-1
0.708984375,0.896484375
0.708984375,0.896484375
0.70703125,0.89453125
0.708984375,0.896484375
0.568359375,0.89453125
0.00390625,0.005859375
0.16796875,0.55859375
0.708984375,0.896484375
0.708984375,0.896484375
0.70703125,0.89453125
0.265625,0.5859375
0.197265625,0.5625
0.708984375,0.896484375
0.708984375,0.896484375
-1,-1
0.708984375,0.896484375
0.57421875,0.74609375
0.7109375,0.900390625
0.0,0.00390625
0.70703125,0.896484375
0.00390625,0.005859375
0.1015625,0.4921875
0.080078125,0.373046875
0.708984375,0.896484375
0.001953125,0.00390625
0.16796875,0.55859375
0.708984375,0.896484375
0.44921875,0.724609375
0.076171875,0.291015625
0.009765625,0.017578125
0.16796875,0.55859375
0.708984375,0.896484375
0.708984375,0.896484375
0.306640625,0.435546875
0.240234375,0.583984375
-1,-1
0.708984375,0.896484375
-1,-1
0.708984375,0.896484375
0.16796875,0.55859375
0.708984375,0.896484375
0.708984375,0.896484375
0.44921875,0.828125
0.16796875,0.55859375
-1,-1
0.708984375,0.896484375
0.708984375,0.896484375
0.44921875,0.828125
0.16796875,0.55859375
0.642578125,0.822265625
0.490234375,0.63671875
0.396484375,0.5234375
0.60546875,0.771484375
0.0,0.005859375
0.591796875,0.779296875
0.00390625,0.01171875
0.001953125,0.0078125
0.0,0.00390625
0.16015625,0.5546875
0.44140625,0.576171875
-1,-1
0.001953125,0.00390625
0.708984375,0.896484375
0.708984375,0.896484375
-1,-1
0.00390625,0.0078125
0.16796875,0.55859375
0.5078125,0.83203125
0.099609375,0.4296875
0.5078125,0.83203125
-1,-1
0.708984375,0.896484375
0.708984375,0.896484375
0.708984375,0.896484375
0.708984375,0.896484375
0.3828125,0.55078125
0.708984375,0.896484375
0.279296875,0.74609375
0.59765625,0.7890625
0.0078125,0.095703125
0.708984375,0.896484375
0.708984375,0.896484375
0.708984375,0.896484375
0.7109375,0.896484375
0.490234375,0.62890625
0.708984375,0.896484375
0.708984375,0.900390625
-1,-1
0.708984375,0.896484375
