top_1,top_5
0.03125,0.04296875
0.78125,0.9453125
0.02734375,0.03515625
0.78125,0.9453125
-1,-1
0.02734375,0.03125
0.02734375,0.03125
0.02734375,0.03125
0.78125,0.9453125
0.78125,0.9453125
0.78125,0.9453125
0.78125,0.9453125
-1,-1
-1,-1
0.78125,0.9453125
-1,-1
-1,-1
0.02734375,0.03125
0.07421875,0.09375
-1,-1
0.78125,0.9453125
0.02734375,0.03125
0.02734375,0.03125
0.10546875,0.1328125
0.03125,0.04296875
0.78125,0.9453125
-1,-1
0.78125,0.9453125
0.78125,0.9453125
0.78125,0.9375
0.78125,0.9453125
0.7734375,0.93359375
