top_1,top_5
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.6875,0.8515625
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
-1,-1
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.0,0.0
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
0.7578125,0.9375
