top_1,top_5
0.6875,0.953125
0.6875,0.953125
0.671875,0.9375
0.6875,0.9375
0.671875,0.9375
0.6875,0.953125
0.671875,0.9375
0.6875,0.953125
0.6875,0.953125
0.6875,0.953125
-1,-1
0.6875,0.953125
0.6875,0.953125
0.6875,0.9375
0.671875,0.9375
0.6875,0.9375
0.3125,0.421875
0.6875,0.953125
0.6875,0.953125
0.6875,0.953125
0.671875,0.9375
0.6875,0.9375
0.6875,0.953125
0.6875,0.953125
0.671875,0.9375
0.3125,0.4375
0.6875,0.9375
0.6875,0.9375
-1,-1
-1,-1
0.6875,0.953125
0.6875,0.953125
0.6875,0.953125
0.6875,0.9375
0.6875,0.953125
0.6875,0.953125
0.671875,0.9375
0.6875,0.953125
0.6875,0.953125
0.6875,0.953125
0.671875,0.921875
0.671875,0.9375
0.6875,0.953125
-1,-1
-1,-1
0.671875,0.9375
0.6875,0.953125
0.6875,0.953125
0.6875,0.953125
0.6875,0.9375
0.3125,0.4375
0.3125,0.4375
0.6875,0.953125
0.65625,0.921875
0.6875,0.953125
-1,-1
0.671875,0.9375
0.671875,0.9375
0.6875,0.953125
0.6875,0.953125
0.6875,0.953125
0.6875,0.953125
0.6875,0.9375
0.6875,0.953125
