,number,value,datetime_start,datetime_complete,duration,params_voltage,params_width,params_x,params_y,params_z,state
0,0,0.6875,2026-04-04 18:42:20.290487,2026-04-04 18:42:28.466015,0 days 00:00:08.175528,180,3,123.8,152.8,0.7000000000000001,COMPLETE
1,1,0.6875,2026-04-04 18:42:28.481321,2026-04-04 18:42:35.833554,0 days 00:00:07.352233,346,1,116.6,156.4,1.08,COMPLETE
2,2,0.6875,2026-04-04 18:42:35.845508,2026-04-04 18:42:42.453981,0 days 00:00:06.608473,402,1,119.3,157.8,1.09,COMPLETE
3,3,0.6875,2026-04-04 18:42:42.465942,2026-04-04 18:42:49.200653,0 days 00:00:06.734711,287,2,118.6,159.0,1.72,COMPLETE
4,4,0.6875,2026-04-04 18:42:49.211686,2026-04-04 18:42:56.922726,0 days 00:00:07.711040,498,3,124.0,150.9,0.35000000000000003,COMPLETE
5,5,0.6875,2026-04-04 18:42:56.934320,2026-04-04 18:43:05.132241,0 days 00:00:08.197921,238,2,118.0,159.8,0.87,COMPLETE
6,6,0.825,2026-04-04 18:43:05.143900,2026-04-04 18:43:40.018318,0 days 00:00:34.874418,321,1,120.5,156.7,0.51,COMPLETE
7,7,0.6875,2026-04-04 18:43:40.029574,2026-04-04 18:43:46.872243,0 days 00:00:06.842669,353,1,123.8,154.3,1.8800000000000001,COMPLETE
8,8,0.6875,2026-04-04 18:43:46.884192,2026-04-04 18:43:53.573989,0 days 00:00:06.689797,475,2,126.6,152.4,1.31,COMPLETE
9,9,0.6875,2026-04-04 18:43:53.585224,2026-04-04 18:44:01.455577,0 days 00:00:07.870353,196,2,117.4,149.8,1.32,COMPLETE
10,10,0.6875,2026-04-04 18:44:01.466884,2026-04-04 18:44:08.833098,0 days 00:00:07.366214,211,3,126.7,150.5,0.47000000000000003,COMPLETE
11,11,0.6875,2026-04-04 18:44:08.844769,2026-04-04 18:44:15.620057,0 days 00:00:06.775288,195,3,125.6,153.1,1.62,COMPLETE
12,12,0.6875,2026-04-04 18:44:15.631414,2026-04-04 18:44:22.653566,0 days 00:00:07.022152,251,3,118.9,152.6,0.9400000000000001,COMPLETE
13,13,0.6875,2026-04-04 18:44:22.665322,2026-04-04 18:44:29.588668,0 days 00:00:06.923346,410,1,113.5,155.1,1.34,COMPLETE
14,14,0.6875,2026-04-04 18:44:29.600681,2026-04-04 18:44:36.482477,0 days 00:00:06.881796,316,2,113.7,155.8,0.3,COMPLETE
15,15,0.6875,2026-04-04 18:44:36.494118,2026-04-04 18:44:44.723764,0 days 00:00:08.229646,199,3,126.9,156.1,0.29,COMPLETE
16,16,0.6875,2026-04-04 18:44:44.734980,2026-04-04 18:44:51.538830,0 days 00:00:06.803850,217,2,122.7,153.9,0.66,COMPLETE
17,17,0.6875,2026-04-04 18:44:51.550319,2026-04-04 18:44:59.016770,0 days 00:00:07.466451,272,1,113.0,150.5,0.62,COMPLETE
18,18,0.6875,2026-04-04 18:44:59.028174,2026-04-04 18:45:06.202850,0 days 00:00:07.174676,373,2,120.2,154.1,1.18,COMPLETE
19,19,0.6875,2026-04-04 18:45:06.214830,2026-04-04 18:45:13.271173,0 days 00:00:07.056343,169,2,118.1,152.1,0.0,COMPLETE
20,20,0.6875,2026-04-04 18:45:13.282229,2026-04-04 18:45:20.128613,0 days 00:00:06.846384,419,1,119.0,148.2,1.55,COMPLETE
21,21,0.6875,2026-04-04 18:45:20.140060,2026-04-04 18:45:27.515913,0 days 00:00:07.375853,349,1,118.6,154.8,1.08,COMPLETE
22,22,0.6875,2026-04-04 18:45:27.527899,2026-04-04 18:45:34.505201,0 days 00:00:06.977302,383,1,116.4,159.5,0.84,COMPLETE
23,23,0.6875,2026-04-04 18:45:34.517207,2026-04-04 18:45:42.704732,0 days 00:00:08.187525,175,3,123.6,151.8,0.9,COMPLETE
