params_x,params_y,params_z,user_attrs_top-1
125.1,148.7,0.17,0.7578125
125.1,148.7,0.17,0.7578125
115.5,159.7,0.24,0.7578125
115.5,159.7,0.24,0.7578125
121.3,155.3,0.32,0.7578125
121.3,155.3,0.32,0.7578125
114.7,150.4,0.37,0.7578125
114.7,150.4,0.37,0.7578125
119.7,150.3,0.5,0.7578125
119.7,150.3,0.5,0.7578125
122.2,151.3,0.11,0.7578125
122.2,151.3,0.11,0.7578125
122.0,156.4,0.41000000000000003,-1.0
122.0,156.4,0.41000000000000003,-1.0
119.7,159.4,0.44,0.7578125
119.7,159.4,0.44,0.7578125
113.2,159.1,0.2,0.7578125
113.2,159.1,0.2,0.7578125
121.3,159.7,0.18,0.7578125
121.3,159.7,0.18,0.7578125
126.2,149.4,0.32,0.7578125
126.2,149.4,0.32,0.7578125
121.6,148.6,0.25,0.7578125
121.6,148.6,0.25,0.7578125
126.0,151.3,0.09,-1.0
126.0,151.3,0.09,0.7578125
113.1,156.4,0.4,0.7578125
113.1,156.4,0.4,0.7578125
117.3,155.4,0.07,0.7578125
117.3,155.4,0.07,0.7578125
116.3,159.1,0.32,0.7578125
116.3,159.1,0.32,0.7578125
118.8,148.1,0.11,0.7578125
118.8,148.1,0.11,0.7578125
116.5,155.1,0.24,0.7578125
116.5,155.1,0.24,0.7578125
127.0,157.7,0.03,0.7578125
127.0,157.7,0.03,0.7578125
117.4,159.7,0.14,0.7578125
117.4,159.7,0.14,0.7578125
126.9,154.4,0.44,0.7578125
126.9,154.4,0.44,0.7578125
121.2,153.2,0.31,-1.0
121.2,153.2,0.31,0.7578125
126.3,154.9,0.26,-1.0
126.3,154.9,0.26,0.7578125
124.1,149.8,0.17,0.7578125
124.1,149.8,0.17,0.7578125
124.7,149.0,0.03,0.7578125
124.7,149.0,0.03,0.7578125
118.0,160.0,0.29,0.7578125
118.0,160.0,0.29,0.7578125
117.5,154.5,0.34,0.7578125
117.5,154.5,0.34,0.7578125
121.7,157.8,0.26,0.7578125
121.7,157.8,0.26,0.7578125
126.5,148.8,0.17,0.7578125
126.5,148.8,0.17,0.7578125
121.0,154.4,0.11,0.7578125
121.0,154.4,0.11,0.7578125
121.9,155.4,0.29,0.7578125
121.9,155.4,0.29,0.7578125
113.7,148.5,0.34,0.7578125
113.7,148.5,0.34,0.7578125
113.0,151.6,0.43,0.7578125
113.0,151.6,0.43,0.7578125
117.4,150.5,0.28,0.7578125
117.4,150.5,0.28,0.7578125
116.7,149.7,0.42,0.7578125
116.7,149.7,0.42,0.7578125
114.1,153.1,0.29,0.7578125
114.1,153.1,0.29,0.7578125
115.0,160.0,0.22,0.7578125
115.0,160.0,0.22,0.7578125
115.6,151.3,0.38,0.7578125
115.6,151.3,0.38,0.7578125
120.6,155.5,0.41000000000000003,0.7578125
120.6,155.5,0.41000000000000003,0.7578125
119.1,153.1,0.5,0.7578125
119.1,153.1,0.5,0.7578125
113.1,157.3,0.15,0.7578125
113.1,157.3,0.15,0.7578125
123.2,149.1,0.49,0.7578125
123.2,149.1,0.49,0.7578125
119.5,149.0,0.48,0.7578125
119.5,149.0,0.48,0.7578125
126.0,159.8,0.38,0.7578125
126.0,159.8,0.38,0.7578125
119.7,150.8,0.45,0.7578125
119.7,150.8,0.45,0.7578125
122.9,148.7,0.22,0.7578125
122.9,148.7,0.22,0.7578125
117.3,149.0,0.49,0.7578125
117.3,149.0,0.49,0.7578125
113.4,159.4,0.34,0.7578125
113.4,159.4,0.34,0.7578125
124.2,151.7,0.25,0.7578125
124.2,151.7,0.25,0.7578125
122.3,148.0,0.12,0.7578125
122.3,148.0,0.12,0.7578125
125.5,148.0,0.16,0.7578125
125.5,148.0,0.16,0.7578125
122.7,151.7,0.15,0.7578125
122.7,151.7,0.15,0.7578125
115.5,157.8,0.21,0.7578125
115.5,157.8,0.21,0.7578125
119.3,152.0,0.09,0.7578125
119.3,152.0,0.09,0.7578125
122.5,151.9,0.49,0.7578125
122.5,151.9,0.49,0.7578125
122.8,150.8,0.01,0.7578125
122.8,150.8,0.01,0.7578125
122.1,151.2,0.1,0.7578125
122.1,151.2,0.1,0.7578125
113.6,148.4,0.07,0.7578125
113.6,148.4,0.07,0.7578125
118.3,156.7,0.32,-1.0
118.3,156.7,0.32,-1.0
114.6,151.1,0.3,0.7578125
114.6,151.1,0.3,0.7578125
122.6,155.1,0.34,-1.0
122.6,155.1,0.34,-1.0
122.5,158.3,0.36,0.7578125
122.5,158.3,0.36,0.7578125
121.5,156.7,0.49,-1.0
121.5,156.7,0.49,-1.0
122.9,155.8,0.38,-1.0
122.9,155.8,0.38,-1.0
127.0,148.2,0.26,0.7578125
127.0,148.2,0.26,0.7578125
120.3,153.6,0.29,0.7578125
120.3,153.6,0.29,0.7578125
119.8,149.7,0.36,0.7578125
119.8,149.7,0.36,0.7578125
119.7,158.9,0.43,0.7578125
119.7,158.9,0.43,0.7578125
124.4,157.0,0.45,0.7578125
124.4,157.0,0.45,0.7578125
119.1,156.2,0.18,-1.0
119.1,156.2,0.18,-1.0
124.8,153.9,0.08,-1.0
124.8,153.9,0.08,-1.0
116.6,157.1,0.48,0.7578125
116.6,157.1,0.48,0.7578125
117.3,159.7,0.39,0.7578125
117.3,159.7,0.39,0.7578125
126.2,159.6,0.14,0.7578125
126.2,159.6,0.14,0.7578125
119.5,159.0,0.45,0.7578125
119.5,159.0,0.45,0.7578125
121.8,159.2,0.48,0.7578125
121.8,159.2,0.48,0.7578125
115.0,159.7,0.22,0.7578125
115.0,159.7,0.22,0.7578125
119.2,150.9,0.48,0.7578125
119.2,150.9,0.48,0.7578125
125.8,151.6,0.11,0.7578125
125.8,151.6,0.11,-1.0
116.6,159.7,0.26,0.7578125
116.6,159.7,0.26,0.7578125
121.3,160.0,0.38,0.7578125
121.3,160.0,0.38,0.7578125
114.0,159.2,0.16,0.7578125
114.0,159.2,0.16,0.7578125
114.6,157.3,0.27,0.7578125
114.6,157.3,0.27,0.7578125
114.0,159.6,0.23,0.7578125
114.0,159.6,0.23,0.7578125
115.1,158.0,0.07,0.7578125
115.1,158.0,0.07,0.7578125
120.5,156.1,0.31,-1.0
120.5,156.1,0.31,-1.0
113.0,157.2,0.24,0.7578125
113.0,157.2,0.24,0.7578125
116.5,150.6,0.42,0.7578125
116.5,150.6,0.42,0.7578125
113.8,150.9,0.4,0.7578125
113.8,150.9,0.4,0.7578125
125.6,149.3,0.1,0.7578125
125.6,149.3,0.1,0.7578125
119.5,154.9,0.39,-1.0
119.5,154.9,0.39,-1.0
120.7,158.5,0.12,0.7578125
120.7,158.5,0.12,0.7578125
120.8,160.0,0.25,0.7578125
120.8,160.0,0.25,0.7578125
118.7,159.9,0.16,0.7578125
118.7,159.9,0.16,0.7578125
116.3,149.1,0.34,0.7578125
116.3,149.1,0.34,0.7578125
123.6,157.6,0.24,0.7578125
123.6,157.6,0.24,0.7578125
123.2,159.4,0.21,0.7578125
123.2,159.4,0.21,0.7578125
121.5,153.3,0.17,0.7578125
121.5,153.3,0.17,0.7578125
120.0,150.2,0.18,0.7578125
120.0,150.2,0.18,0.7578125
122.4,159.9,0.12,0.7578125
122.4,159.9,0.12,0.7578125
124.6,149.6,0.2,0.7578125
124.6,149.6,0.2,0.7578125
123.8,150.0,0.36,0.7578125
123.8,150.0,0.36,0.7578125
126.6,151.7,0.31,0.7578125
126.6,151.7,0.31,0.7578125
125.1,149.2,0.25,0.7578125
125.1,149.2,0.25,0.7578125
126.4,148.5,0.35000000000000003,0.7578125
126.4,148.5,0.35000000000000003,0.7578125
113.0,159.2,0.14,0.7578125
113.0,159.2,0.14,0.7578125
121.8,148.0,0.5,0.7578125
121.8,148.0,0.5,0.7578125
121.8,153.5,0.41000000000000003,0.7578125
121.8,153.5,0.41000000000000003,0.7578125
119.1,157.6,0.43,-1.0
119.1,157.6,0.43,-1.0
121.5,150.8,0.1,0.7578125
121.5,150.8,0.1,0.7578125
125.5,150.8,0.31,0.7578125
125.5,150.8,0.31,0.7578125
122.5,148.3,0.37,0.7578125
122.5,148.3,0.37,0.7578125
119.5,148.5,0.28,0.7578125
119.5,148.5,0.28,0.7578125
122.0,151.5,0.25,0.7578125
122.0,151.5,0.25,0.7578125
121.8,157.2,0.41000000000000003,-1.0
121.8,157.2,0.41000000000000003,-1.0
113.1,152.6,0.17,0.7578125
113.1,152.6,0.17,0.7578125
123.3,148.0,0.28,0.7578125
123.3,148.0,0.28,0.7578125
121.2,148.9,0.26,0.7578125
121.2,148.9,0.26,0.7578125
123.1,156.6,0.02,-1.0
123.1,156.6,0.02,-1.0
117.9,157.9,0.21,0.7578125
117.9,157.9,0.21,0.7578125
114.0,150.0,0.32,0.7578125
114.0,150.0,0.32,0.7578125
127.0,151.0,0.17,0.7578125
127.0,151.0,0.17,0.7578125
121.5,153.0,0.03,-1.0
121.5,153.0,0.03,-1.0
