params_x,params_y,params_z,params_voltage,user_attrs_top-1
122.0,156.29999999999998,0.12,200,0.7578125
122.0,156.29999999999998,0.12,200,0.7578125
122.9,153.1,0.77,300,0.7578125
122.9,153.1,0.77,300,0.7578125
123.5,154.29999999999998,0.4,250,0.7578125
123.5,154.29999999999998,0.4,250,0.7578125
123.9,155.5,0.89,300,0.7578125
123.9,155.5,0.89,300,0.7578125
124.2,156.5,0.7000000000000001,250,0.7578125
124.2,156.5,0.7000000000000001,250,0.7578125
124.4,156.6,0.19,350,0.75
124.4,156.6,0.19,350,0.7578125
124.4,156.6,0.19,350,-1.0
124.0,156.7,0.13,200,0.7578125
124.0,156.7,0.13,200,0.7578125
125.0,156.79999999999998,0.23,150,0.7578125
125.0,156.79999999999998,0.23,150,0.7578125
123.10000000000001,155.6,0.31,250,0.7578125
123.10000000000001,155.6,0.31,250,0.7578125
124.5,153.6,0.6,250,0.7578125
124.5,153.6,0.6,250,0.75
124.5,153.6,0.6,250,0.7578125
124.2,156.4,0.1,350,-1.0
124.2,156.4,0.1,350,0.7578125
125.30000000000001,153.9,0.72,250,0.7578125
125.30000000000001,153.9,0.72,250,0.7578125
125.4,155.5,0.29,300,-1.0
125.4,155.5,0.29,300,-1.0
124.4,153.9,0.23,150,0.75
124.4,153.9,0.23,150,0.7578125
124.4,153.9,0.23,150,0.7578125
125.30000000000001,157.1,0.58,350,0.7578125
125.30000000000001,157.1,0.58,350,0.7578125
124.4,153.7,0.62,350,0.7578125
124.4,153.7,0.62,350,0.75
124.4,153.7,0.62,350,0.7578125
124.4,153.1,0.99,200,0.7578125
124.4,153.1,0.99,200,0.7578125
124.4,153.2,0.53,250,0.7578125
124.4,153.2,0.53,250,0.7578125
121.7,156.7,0.39,350,0.7578125
121.7,156.7,0.39,350,0.7578125
123.0,156.79999999999998,0.1,300,0.7578125
123.0,156.79999999999998,0.1,300,0.7578125
123.9,154.7,0.05,350,-1.0
123.9,154.7,0.05,350,-1.0
124.5,154.0,0.22,150,0.7578125
124.5,154.0,0.22,150,0.7421875
124.5,154.0,0.22,150,0.7578125
124.4,153.4,0.02,250,-1.0
124.4,153.4,0.02,250,-1.0
125.30000000000001,154.5,0.07,150,0.7578125
125.30000000000001,154.5,0.07,150,0.7578125
123.7,154.79999999999998,0.52,150,0.7578125
123.7,154.79999999999998,0.52,150,0.7578125
124.30000000000001,156.7,0.29,350,-1.0
124.30000000000001,156.7,0.29,350,0.7578125
123.4,153.6,0.47000000000000003,150,0.7578125
123.4,153.6,0.47000000000000003,150,0.7578125
125.30000000000001,154.5,0.58,150,0.7578125
125.30000000000001,154.5,0.58,150,0.7578125
121.4,153.4,0.25,350,0.7578125
121.4,153.4,0.25,350,0.7578125
121.5,156.0,0.3,150,0.7578125
121.5,156.0,0.3,150,0.7578125
123.30000000000001,154.0,0.09,150,0.7578125
123.30000000000001,154.0,0.09,150,0.7578125
124.4,154.0,0.3,150,0.7578125
124.4,154.0,0.3,150,0.7578125
125.30000000000001,157.0,0.0,350,-1.0
125.30000000000001,157.0,0.0,350,0.7578125
125.4,153.1,0.06,150,0.7578125
125.4,153.1,0.06,150,0.7578125
121.80000000000001,153.6,0.88,150,0.7578125
121.80000000000001,153.6,0.88,150,0.7578125
124.5,153.9,0.31,200,0.7578125
124.5,153.9,0.31,200,0.75
124.5,153.9,0.31,200,0.7578125
124.2,153.9,0.03,150,0.75
124.2,153.9,0.03,150,0.7421875
124.2,153.9,0.03,150,0.7578125
124.2,153.9,0.03,150,-1.0
125.30000000000001,156.29999999999998,1.0,200,0.7578125
125.30000000000001,156.29999999999998,1.0,200,0.7578125
122.2,156.2,0.98,350,0.7578125
122.2,156.2,0.98,350,0.7578125
124.30000000000001,154.6,0.59,250,0.7578125
124.30000000000001,154.6,0.59,250,0.7578125
122.30000000000001,157.0,0.78,150,0.7578125
122.30000000000001,157.0,0.78,150,0.7578125
123.80000000000001,155.1,0.05,150,0.75
123.80000000000001,155.1,0.05,150,0.7578125
123.80000000000001,155.1,0.05,150,0.7578125
123.9,153.5,0.05,150,0.7578125
123.9,153.5,0.05,150,0.7578125
123.4,154.2,0.81,250,0.7578125
123.4,154.2,0.81,250,0.7578125
124.10000000000001,154.29999999999998,0.14,150,0.75
124.10000000000001,154.29999999999998,0.14,150,0.75
124.10000000000001,154.29999999999998,0.14,150,0.7578125
124.10000000000001,154.29999999999998,0.14,150,0.75
124.10000000000001,154.29999999999998,0.14,150,0.7578125
124.7,154.29999999999998,0.18,150,0.75
124.7,154.29999999999998,0.18,150,0.7578125
124.7,154.29999999999998,0.18,150,0.75
124.7,154.29999999999998,0.18,150,0.7578125
124.5,155.2,0.25,150,0.7578125
124.5,155.2,0.25,150,0.7578125
124.10000000000001,154.29999999999998,0.07,150,0.7578125
124.10000000000001,154.29999999999998,0.07,150,0.7578125
123.60000000000001,154.6,0.02,250,0.7578125
123.60000000000001,154.6,0.02,250,0.75
123.60000000000001,154.6,0.02,250,-1.0
124.7,154.2,0.04,200,0.7578125
124.7,154.2,0.04,200,0.7578125
124.7,154.4,0.29,150,0.75
124.7,154.4,0.29,150,0.7578125
124.7,154.4,0.29,150,0.7578125
124.9,155.9,0.36,350,0.7578125
124.9,155.9,0.36,350,0.75
124.9,155.9,0.36,350,-1.0
123.4,156.1,0.28,350,0.7578125
123.4,156.1,0.28,350,-1.0
121.60000000000001,153.2,0.36,150,0.7578125
121.60000000000001,153.2,0.36,150,0.7578125
125.10000000000001,153.2,0.52,250,0.7578125
125.10000000000001,153.2,0.52,250,0.75
125.10000000000001,153.2,0.52,250,0.7578125
124.5,154.5,0.1,150,0.7578125
124.5,154.5,0.1,150,-1.0
123.7,153.4,0.64,250,0.7578125
123.7,153.4,0.64,250,0.7578125
124.5,153.1,0.61,150,0.7578125
124.5,153.1,0.61,150,0.7578125
121.60000000000001,156.2,0.74,250,0.7578125
121.60000000000001,156.2,0.74,250,0.7578125
124.9,156.5,0.22,300,-1.0
124.9,156.5,0.22,300,0.7578125
122.10000000000001,154.6,0.6,300,0.7578125
122.10000000000001,154.6,0.6,300,0.7578125
124.60000000000001,153.79999999999998,0.23,150,0.7578125
124.60000000000001,153.79999999999998,0.23,150,0.7578125
124.2,153.5,0.18,150,0.7578125
124.2,153.5,0.18,150,0.7578125
124.2,155.9,0.03,350,-1.0
124.2,155.9,0.03,350,-1.0
124.0,154.5,0.15,150,0.7578125
124.0,154.5,0.15,150,0.7578125
124.80000000000001,154.1,0.21,150,0.7578125
124.80000000000001,154.1,0.21,150,0.7578125
124.4,153.7,0.04,150,0.7578125
124.4,153.7,0.04,150,0.7578125
123.80000000000001,153.79999999999998,0.26,150,0.7578125
123.80000000000001,153.79999999999998,0.26,150,0.7578125
124.4,157.0,0.3,350,0.7578125
124.4,157.0,0.3,350,0.7578125
125.0,154.29999999999998,0.33,200,0.7578125
125.0,154.29999999999998,0.33,200,0.7578125
124.4,153.7,0.61,250,0.7578125
124.4,153.7,0.61,250,0.7578125
124.7,154.1,0.6,350,0.75
124.7,154.1,0.6,350,0.7578125
124.7,154.1,0.6,350,0.7578125
124.2,153.29999999999998,0.87,350,0.7578125
124.2,153.29999999999998,0.87,350,0.7578125
124.2,153.7,0.71,350,0.7578125
124.2,153.7,0.71,350,0.7578125
121.9,153.1,0.6900000000000001,300,0.7578125
121.9,153.1,0.6900000000000001,300,0.7578125
124.7,153.4,0.38,350,0.7578125
124.7,153.4,0.38,350,0.75
124.7,153.4,0.38,350,0.7578125
123.2,154.9,0.29,150,0.7578125
123.2,154.9,0.29,150,0.7578125
124.10000000000001,153.2,0.61,300,0.7578125
124.10000000000001,153.2,0.61,300,0.7578125
121.4,156.1,0.07,350,0.75
121.4,156.1,0.07,350,0.7578125
121.4,156.1,0.07,350,0.7578125
123.60000000000001,154.1,0.31,200,0.7578125
123.60000000000001,154.1,0.31,200,0.7578125
123.7,153.79999999999998,0.07,200,0.7578125
123.7,153.79999999999998,0.07,200,0.7578125
123.7,154.1,0.47000000000000003,350,0.75
123.7,154.1,0.47000000000000003,350,0.7578125
123.7,154.1,0.47000000000000003,350,0.7578125
124.30000000000001,156.9,0.1,350,-1.0
124.30000000000001,156.9,0.1,350,-1.0
124.2,153.9,0.34,250,0.7578125
124.2,153.9,0.34,250,0.7578125
125.10000000000001,153.5,0.21,200,0.7578125
125.10000000000001,153.5,0.21,200,0.7578125
124.60000000000001,154.29999999999998,0.18,200,0.7578125
124.60000000000001,154.29999999999998,0.18,200,0.7578125
125.30000000000001,154.0,0.28,150,0.7578125
125.30000000000001,154.0,0.28,150,0.7578125
123.10000000000001,154.29999999999998,0.9,350,0.7578125
123.10000000000001,154.29999999999998,0.9,350,0.7578125
124.5,153.7,0.43,200,0.7578125
124.5,153.7,0.43,200,0.7578125
124.4,154.1,0.48,150,0.7578125
124.4,154.1,0.48,150,0.7578125
124.7,154.2,0.88,200,0.7578125
124.7,154.2,0.88,200,0.7578125
124.10000000000001,155.1,0.12,200,0.7578125
124.10000000000001,155.1,0.12,200,0.75
124.10000000000001,155.1,0.12,200,-1.0
122.5,155.1,0.99,200,0.7578125
122.5,155.1,0.99,200,0.7578125
123.9,156.1,0.05,150,0.7578125
123.9,156.1,0.05,150,0.7578125
125.4,153.5,0.66,350,0.7578125
125.4,153.5,0.66,350,0.7578125
