params_x,params_y,params_z,params_voltage,user_attrs_top-1
122.5,158.5,0.35000000000000003,250,0.7578125
122.5,158.5,0.35000000000000003,250,0.7578125
126.5,153.0,0.65,350,0.7578125
126.5,153.0,0.65,350,0.7578125
115.5,156.0,1.0,250,0.7578125
115.5,156.0,1.0,250,0.7578125
120.0,158.5,0.7000000000000001,300,0.7578125
120.0,158.5,0.7000000000000001,300,0.7578125
113.0,160.0,0.1,300,0.7578125
113.0,160.0,0.1,300,0.7578125
117.0,155.5,0.05,150,0.7578125
117.0,155.5,0.05,150,0.7578125
127.0,157.5,0.25,200,0.7578125
127.0,157.5,0.25,200,0.7578125
124.5,152.0,0.5,300,0.7578125
124.5,152.0,0.5,300,-1.0
117.5,156.5,0.9,350,0.7578125
117.5,156.5,0.9,350,0.7578125
124.5,158.0,0.4,350,0.7578125
124.5,158.0,0.4,350,0.7578125
121.0,157.5,0.0,300,0.7578125
121.0,157.5,0.0,300,0.7578125
124.5,155.5,1.0,300,0.7578125
124.5,155.5,1.0,300,0.7578125
121.5,159.5,0.55,150,0.7578125
121.5,159.5,0.55,150,0.7578125
125.5,149.0,0.9,350,0.7578125
125.5,149.0,0.9,350,0.7578125
126.5,149.0,0.05,350,0.7578125
126.5,149.0,0.05,350,0.7578125
122.5,160.0,0.30000000000000004,250,0.7578125
122.5,160.0,0.30000000000000004,250,0.7578125
119.5,150.0,0.8,150,0.7578125
119.5,150.0,0.8,150,0.7578125
123.0,154.5,0.65,350,0.75
123.0,154.5,0.65,350,0.75
123.0,154.5,0.65,350,0.75
123.0,154.5,0.65,350,0.7578125
123.0,154.5,0.65,350,0.7578125
120.0,154.5,0.5,250,0.7578125
120.0,154.5,0.5,250,0.7578125
117.0,157.0,0.35000000000000003,250,0.7578125
117.0,157.0,0.35000000000000003,250,0.7578125
118.5,151.5,0.75,350,0.7578125
118.5,151.5,0.75,350,0.7578125
124.5,153.5,0.7000000000000001,350,0.7578125
124.5,153.5,0.7000000000000001,350,0.7578125
121.0,156.0,0.45,350,0.7578125
121.0,156.0,0.45,350,0.7578125
126.5,152.5,0.5,350,0.7578125
126.5,152.5,0.5,350,0.7578125
113.0,152.0,0.65,250,0.7578125
113.0,152.0,0.65,250,0.7578125
124.5,152.5,0.55,150,0.7578125
